**************************************************
attack_type:  context_agnostic
model:  gemini
source_model:  None
attack_context_model:  gemini
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
Enabling System Prompt Defense
**************************************************
input_tokens:  22454
output_tokens:  174
reasoning_tokens:  1010
input_tokens:  22834
output_tokens:  98
reasoning_tokens:  1237
input_tokens:  22947
output_tokens:  92
reasoning_tokens:  1212
input_tokens:  22753
output_tokens:  131
reasoning_tokens:  994
input_tokens:  22792
output_tokens:  141
reasoning_tokens:  2615
input_tokens:  22826
output_tokens:  174
reasoning_tokens:  1056
input_tokens:  13677
output_tokens:  77
reasoning_tokens:  353
input_tokens:  14057
output_tokens:  75
reasoning_tokens:  463
input_tokens:  14170
output_tokens:  41
reasoning_tokens:  553
input_tokens:  13976
output_tokens:  32
reasoning_tokens:  506
input_tokens:  14015
output_tokens:  53
reasoning_tokens:  3079
input_tokens:  14049
output_tokens:  25
reasoning_tokens:  1226
input_tokens:  3460
output_tokens:  46
reasoning_tokens:  538
input_tokens:  3840
output_tokens:  44
reasoning_tokens:  1080
input_tokens:  3953
output_tokens:  35
reasoning_tokens:  610
input_tokens:  3759
output_tokens:  43
reasoning_tokens:  790
input_tokens:  3798
output_tokens:  71
reasoning_tokens:  2309
input_tokens:  3832
output_tokens:  81
reasoning_tokens:  996
