**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
Enabling System Prompt Defense
**************************************************
input_tokens:  22555
output_tokens:  56
reasoning_tokens:  542
input_tokens:  22938
output_tokens:  15
reasoning_tokens:  257
input_tokens:  23050
output_tokens:  56
reasoning_tokens:  2746
input_tokens:  22856
output_tokens:  49
reasoning_tokens:  224
input_tokens:  22896
output_tokens:  59
reasoning_tokens:  363
input_tokens:  22932
output_tokens:  31
reasoning_tokens:  2030
input_tokens:  14144
output_tokens:  36
reasoning_tokens:  330
input_tokens:  14527
output_tokens:  29
reasoning_tokens:  181
input_tokens:  14639
output_tokens:  117
reasoning_tokens:  539
input_tokens:  14445
output_tokens:  15
reasoning_tokens:  497
input_tokens:  14485
output_tokens:  64
reasoning_tokens:  268
input_tokens:  14521
output_tokens:  17
reasoning_tokens:  909
input_tokens:  3551
output_tokens:  35
reasoning_tokens:  284
input_tokens:  3934
output_tokens:  32
reasoning_tokens:  272
input_tokens:  4046
output_tokens:  38
reasoning_tokens:  240
input_tokens:  3852
output_tokens:  23
reasoning_tokens:  107
input_tokens:  3892
output_tokens:  37
reasoning_tokens:  135
input_tokens:  3928
output_tokens:  23
reasoning_tokens:  292
