**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-7B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
**************************************************
input_tokens:  22440
output_tokens:  763
reasoning_tokens:  343
input_tokens:  22823
output_tokens:  69
reasoning_tokens:  489
input_tokens:  22935
output_tokens:  967
reasoning_tokens:  2115
input_tokens:  22741
output_tokens:  710
reasoning_tokens:  648
input_tokens:  22781
output_tokens:  921
reasoning_tokens:  695
input_tokens:  22817
output_tokens:  732
reasoning_tokens:  696
input_tokens:  14029
output_tokens:  85
reasoning_tokens:  416
input_tokens:  14412
output_tokens:  34
reasoning_tokens:  322
input_tokens:  14524
output_tokens:  34
reasoning_tokens:  276
input_tokens:  14330
output_tokens:  63
reasoning_tokens:  561
input_tokens:  14370
output_tokens:  136
reasoning_tokens:  493
input_tokens:  14406
output_tokens:  399
reasoning_tokens:  418
input_tokens:  3436
output_tokens:  97
reasoning_tokens:  603
input_tokens:  3819
output_tokens:  45
reasoning_tokens:  290
input_tokens:  3931
output_tokens:  33
reasoning_tokens:  184
input_tokens:  3737
output_tokens:  65
reasoning_tokens:  380
input_tokens:  3777
output_tokens:  2
reasoning_tokens:  247
input_tokens:  3813
output_tokens:  125
reasoning_tokens:  422
