**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
**************************************************
input_tokens:  22440
output_tokens:  104
reasoning_tokens:  418
input_tokens:  22823
output_tokens:  99
reasoning_tokens:  299
input_tokens:  22935
output_tokens:  34
reasoning_tokens:  418
input_tokens:  22741
output_tokens:  82
reasoning_tokens:  1167
input_tokens:  22781
output_tokens:  95
reasoning_tokens:  895
input_tokens:  22817
output_tokens:  81
reasoning_tokens:  400
input_tokens:  14029
output_tokens:  33
reasoning_tokens:  308
input_tokens:  14412
output_tokens:  58
reasoning_tokens:  757
input_tokens:  14524
output_tokens:  37
reasoning_tokens:  543
input_tokens:  14330
output_tokens:  58
reasoning_tokens:  437
input_tokens:  14370
output_tokens:  17
reasoning_tokens:  643
input_tokens:  14406
output_tokens:  14
reasoning_tokens:  629
input_tokens:  3436
output_tokens:  88
reasoning_tokens:  433
input_tokens:  3819
output_tokens:  210
reasoning_tokens:  1276
input_tokens:  3931
output_tokens:  18
reasoning_tokens:  150
input_tokens:  3737
output_tokens:  59
reasoning_tokens:  344
input_tokens:  3777
output_tokens:  39
reasoning_tokens:  215
input_tokens:  3813
output_tokens:  64
reasoning_tokens:  402
