**************************************************
attack_type:  context_agnostic
model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
source_model:  None
attack_context_model:  deepseek-ai_DeepSeek-R1-Distill-Qwen-32B
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
Enabling System Prompt Defense
**************************************************
input_tokens:  22555
output_tokens:  100
reasoning_tokens:  415
input_tokens:  22555
output_tokens:  61
reasoning_tokens:  289
input_tokens:  22555
output_tokens:  29
reasoning_tokens:  387
input_tokens:  22555
output_tokens:  61
reasoning_tokens:  253
input_tokens:  22555
output_tokens:  63
reasoning_tokens:  321
input_tokens:  22938
output_tokens:  87
reasoning_tokens:  2453
input_tokens:  23050
output_tokens:  80
reasoning_tokens:  242
input_tokens:  22856
output_tokens:  173
reasoning_tokens:  1280
input_tokens:  22896
output_tokens:  70
reasoning_tokens:  1610
input_tokens:  22932
output_tokens:  67
reasoning_tokens:  335
input_tokens:  14144
output_tokens:  34
reasoning_tokens:  200
input_tokens:  14144
output_tokens:  61
reasoning_tokens:  394
input_tokens:  14144
output_tokens:  39
reasoning_tokens:  486
input_tokens:  14144
output_tokens:  76
reasoning_tokens:  421
input_tokens:  14144
output_tokens:  66
reasoning_tokens:  288
input_tokens:  14527
output_tokens:  28
reasoning_tokens:  515
input_tokens:  14639
output_tokens:  33
reasoning_tokens:  244
input_tokens:  14445
output_tokens:  34
reasoning_tokens:  616
input_tokens:  14485
output_tokens:  54
reasoning_tokens:  410
input_tokens:  14521
output_tokens:  39
reasoning_tokens:  421
input_tokens:  3551
output_tokens:  30
reasoning_tokens:  345
input_tokens:  3551
output_tokens:  52
reasoning_tokens:  240
input_tokens:  3551
output_tokens:  57
reasoning_tokens:  201
input_tokens:  3551
output_tokens:  35
reasoning_tokens:  350
input_tokens:  3551
output_tokens:  61
reasoning_tokens:  329
input_tokens:  3934
output_tokens:  49
reasoning_tokens:  319
input_tokens:  4046
output_tokens:  51
reasoning_tokens:  255
input_tokens:  3852
output_tokens:  34
reasoning_tokens:  158
input_tokens:  3892
output_tokens:  44
reasoning_tokens:  469
input_tokens:  3928
output_tokens:  62
reasoning_tokens:  270
