**************************************************
attack_type:  context_agnostic
model:  gemini
source_model:  None
attack_context_model:  gemini
num_samples:  3
num_shots:  3
runs:  1
reasoning_effort:  None
**************************************************
input_tokens:  22421
output_tokens:  333
reasoning_tokens:  1089
input_tokens:  22801
output_tokens:  275
reasoning_tokens:  9910
input_tokens:  22914
output_tokens:  253
reasoning_tokens:  2282
input_tokens:  22720
output_tokens:  424
reasoning_tokens:  2967
input_tokens:  22759
output_tokens:  198
reasoning_tokens:  2435
input_tokens:  22793
output_tokens:  119
reasoning_tokens:  5070
input_tokens:  13644
output_tokens:  72
reasoning_tokens:  458
input_tokens:  14024
output_tokens:  134
reasoning_tokens:  3165
input_tokens:  14137
output_tokens:  136
reasoning_tokens:  9714
input_tokens:  13943
output_tokens:  157
reasoning_tokens:  807
input_tokens:  13982
output_tokens:  49
reasoning_tokens:  2172
input_tokens:  14016
output_tokens:  78
reasoning_tokens:  4843
input_tokens:  3427
output_tokens:  78
reasoning_tokens:  524
input_tokens:  3807
output_tokens:  188
reasoning_tokens:  2897
input_tokens:  3920
output_tokens:  113
reasoning_tokens:  3369
input_tokens:  3726
output_tokens:  120
reasoning_tokens:  4776
input_tokens:  3765
output_tokens:  127
reasoning_tokens:  2419
input_tokens:  3799
output_tokens:  106
reasoning_tokens:  5963
